"id","turnout_code","education_years","age","income_k"
"P001",2,18,50,71.1
"P002",2,14,53,42.9
"P003",1,18,30,71.2
"P004",2,8,47,46.2
"P005",2,14,46,54.7
"P006",2,11,68,42.6
"P007",2,13,39,72.1
"P008",1,15,45,73.7
"P009",2,9,50,48.3
"P010",1,16,34,77.9
"P011",1,19,31,90.4
"P012",2,15,33,86.6
"P013",1,15,64,80.7
"P014",1,20,67,105.6
"P015",2,11,45,42.9
"P016",2,13,77,27
"P017",2,11,31,52.8
"P018",2,15,59,28.7
"P019",2,12,67,
"P020",2,15,28,41.4
"P021",2,15,26,75.6
"P022",2,15,77,62.6
"P023",1,10,53,52.7
"P024",2,10,73,87.6
"P025",2,10,24,
"P026",2,13,39,40.7
"P027",99,11,75,25.7
"P028",2,13,69,77.7
"P029",1,14,44,
"P030",1,17,28,70.1
"P031",2,8,50,51.1
"P032",2,12,38,49.9
"P033",1,13,71,86.1
"P034",1,11,29,36.8
"P035",2,15,26,86.9
"P036",2,10,35,44.4
"P037",2,12,27,44.5
"P038",1,14,67,50.9
"P039",1,16,61,62.5
"P040",2,11,59,52.7
"P041",2,17,78,80.4
"P042",2,13,58,64.3
"P043",1,16,57,79.1
"P044",2,12,72,39.9
"P045",1,19,53,92.2
"P046",2,15,23,94.1
"P047",2,11,46,58.5
"P048",2,13,30,55.8
"P049",1,14,80,69.5
"P050",2,17,23,75.4
"P051",1,15,80,62.7
"P052",2,10,77,55.7
"P053",2,10,45,21.6
"P054",2,16,60,94.7
"P055",1,12,58,65.1
"P056",1,14,21,78.5
"P057",2,13,78,50.9
"P058",1,12,60,59
"P059",1,15,43,85
"P060",2,11,38,
"P061",2,8,55,33.3
"P062",2,16,32,70
"P063",1,14,73,61.5
"P064",1,19,41,93.6
"P065",2,19,37,60.5
"P066",2,14,61,52.5
"P067",2,12,61,35.7
"P068",2,12,73,71.8
"P069",2,13,48,61.8
"P070",99,14,22,70.4
"P071",2,13,76,37.2
"P072",2,12,44,85.2
"P073",1,16,74,
"P074",2,15,61,66.5
"P075",2,,64,
"P076",2,8,35,24.2
"P077",2,15,45,79.8
"P078",1,14,49,74.8
"P079",2,13,47,78.5
"P080",1,11,54,67.1
"P081",2,10,63,27.1
"P082",1,12,61,84.8
"P083",1,12,64,83.1
"P084",2,11,80,65
"P085",1,12,37,37.4
"P086",1,12,33,18.6
"P087",1,12,37,55.4
"P088",99,12,31,40.5
"P089",1,12,71,77.9
"P090",1,13,30,38.1
"P091",2,12,60,66.9
"P092",99,13,25,42.1
"P093",2,11,54,71.9
"P094",99,13,61,108.5
"P095",2,11,21,55.7
"P096",1,13,37,49.9
"P097",1,16,47,81.1
"P098",1,14,80,62.4
"P099",2,15,65,81.9
"P100",2,11,72,26.8
"P101",1,13,30,65
"P102",1,15,39,80.6
"P103",1,19,75,82.4
"P104",2,15,58,48.2
"P105",2,14,30,83.8
"P106",1,16,57,93.4
"P107",2,13,22,51.1
"P108",2,12,55,25.6
"P109",1,,46,66.9
"P110",1,16,57,91.1
"P111",2,17,19,88
"P112",1,18,51,56
